PACKAGE | PREFIX/PATH | VERSION
rtabmap_ros | /opt/ros/humble | 0.22.1
robot_localization | /opt/ros/humble | 3.5.4
nav2_bringup | /opt/ros/humble | 1.1.19
ros-humble-nav2-amcl | /usr | 1.1.19-1jammy.20251017.233238
ros-humble-nav2-behavior-tree | /usr | 1.1.19-1jammy.20251018.015538
ros-humble-nav2-behaviors | /usr | 1.1.19-1jammy.20251018.024054
ros-humble-nav2-bringup | /usr | 1.1.19-1jammy.20251018.045410
ros-humble-nav2-bt-navigator | /usr | 1.1.19-1jammy.20251018.024057
ros-humble-nav2-collision-monitor | /usr | 1.1.19-1jammy.20251018.015923
ros-humble-nav2-common | /usr | 1.1.19-1jammy.20251010.085444
ros-humble-nav2-constrained-smoother | /usr | 1.1.19-1jammy.20251018.021447
ros-humble-nav2-controller | /usr | 1.1.19-1jammy.20251018.021459
ros-humble-nav2-core | /usr | 1.1.19-1jammy.20251018.015938
ros-humble-nav2-costmap-2d | /usr | 1.1.19-1jammy.20251018.013527
ros-humble-nav2-dwb-controller | /usr | 1.1.19-1jammy.20251018.042650
ros-humble-nav2-lifecycle-manager | /usr | 1.1.19-1jammy.20251018.002655
ros-humble-nav2-map-server | /usr | 1.1.19-1jammy.20251018.012458
ros-humble-nav2-mppi-controller | /usr | 1.1.19-1jammy.20251018.020730
ros-humble-nav2-msgs | /usr | 1.1.19-1jammy.20251010.100249
ros-humble-nav2-navfn-planner | /usr | 1.1.19-1jammy.20251018.020747
ros-humble-nav2-planner | /usr | 1.1.19-1jammy.20251018.021053
ros-humble-nav2-regulated-pure-pursuit-controller | /usr | 1.1.19-1jammy.20251018.021459
ros-humble-nav2-rotation-shim-controller | /usr | 1.1.19-1jammy.20251018.022625
ros-humble-nav2-rviz-plugins | /usr | 1.1.19-1jammy.20251018.025519
ros-humble-nav2-simple-commander | /usr | 1.1.19-1jammy.20251010.120149
ros-humble-nav2-smac-planner | /usr | 1.1.19-1jammy.20251018.021045
ros-humble-nav2-smoother | /usr | 1.1.19-1jammy.20251018.021703
ros-humble-nav2-theta-star-planner | /usr | 1.1.19-1jammy.20251018.021224
ros-humble-nav2-util | /usr | 1.1.19-1jammy.20251017.232049
ros-humble-nav2-velocity-smoother | /usr | 1.1.19-1jammy.20251018.012537
ros-humble-nav2-voxel-grid | /usr | 1.1.19-1jammy.20251010.152438
ros-humble-nav2-waypoint-follower | /usr | 1.1.19-1jammy.20251018.020519
ros-humble-navigation2 | /usr | 1.1.19-1jammy.20251018.043235
ros-humble-robot-localization | /usr | 3.5.4-1jammy.20251017.223119
ros-humble-rtabmap | /usr | 0.22.1-1jammy.20251013.203238
ros-humble-rtabmap-conversions | /usr | 0.22.1-1jammy.20251017.224852
ros-humble-rtabmap-demos | /usr | 0.22.1-1jammy.20251018.050519
ros-humble-rtabmap-examples | /usr | 0.22.1-1jammy.20251018.030821
ros-humble-rtabmap-launch | /usr | 0.22.1-1jammy.20251018.030911
ros-humble-rtabmap-msgs | /usr | 0.22.1-1jammy.20251010.054702
ros-humble-rtabmap-odom | /usr | 0.22.1-1jammy.20251018.014106
ros-humble-rtabmap-python | /usr | 0.22.1-1jammy.20250718.233734
ros-humble-rtabmap-ros | /usr | 0.22.1-1jammy.20251018.051316
ros-humble-rtabmap-rviz-plugins | /usr | 0.22.1-1jammy.20251018.025337
ros-humble-rtabmap-slam | /usr | 0.22.1-1jammy.20251018.014059
ros-humble-rtabmap-sync | /usr | 0.22.1-1jammy.20251017.230123
ros-humble-rtabmap-util | /usr | 0.22.1-1jammy.20251017.225913
ros-humble-rtabmap-viz | /usr | 0.22.1-1jammy.20251018.012705
{ path=/usr/local/lib/laksa/laksa-micro-ros-agent ; argv[]=/usr/local/lib/laksa/laksa-micro-ros-agent ; ignore_errors=no ; start_time=[Wed 2026-09-02 16:11:33 CST] ; stop_time=[n/a] ; pid=1427862 ; code=(null) ; status=0/0 }
