# LAKSA C1 deterministic Waterloo minimum-curvature raceline
# source: canonical speed_course centerline; speed fixed at 1.0 m/s
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.00000000; 20.65328944; 2.00946986; 0.00001391; 0.00076432; 1.00000000; 0.00000000
0.19978603; 20.85309149; 2.00948365; 0.00010273; 0.00012431; 1.00000000; 0.00000000
0.39957206; 21.05286370; 2.00950288; 0.00007897; -0.00019716; 1.00000000; 0.00000000
0.59935809; 21.25264791; 2.00951486; 0.00004156; -0.00017732; 1.00000000; 0.00000000
0.79914412; 21.45243880; 2.00952001; 0.00001210; -0.00011624; 1.00000000; 0.00000000
0.99893015; 21.65222359; 2.00952064; -0.00000116; 0.00002864; 1.00000000; 0.00000000
1.19871618; 21.85200644; 2.00952261; 0.00002903; 0.00027366; 1.00000000; 0.00000000
1.39850221; 22.05179746; 2.00953789; 0.00014652; 0.00092884; 1.00000000; 0.00000000
1.59828824; 22.25158365; 2.00959040; 0.00040603; 0.00174700; 1.00000000; 0.00000000
1.79807427; 22.45136551; 2.00971306; 0.00085535; 0.00275130; 1.00000000; 0.00000000
1.99786030; 22.65115892; 2.00994576; 0.00150878; 0.00379336; 1.00000000; 0.00000000
2.19764632; 22.85094435; 2.01032985; 0.00237089; 0.00483214; 1.00000000; 0.00000000
2.39743235; 23.05072417; 2.01090677; 0.00343884; 0.00585939; 1.00000000; 0.00000000
2.59721838; 23.25051953; 2.01171753; 0.00471058; 0.00686886; 1.00000000; 0.00000000
2.79700441; 23.45030089; 2.01280241; 0.00618332; 0.00786934; 1.00000000; 0.00000000
2.99679044; 23.65007566; 2.01420131; 0.00785411; 0.00885751; 1.00000000; 0.00000000
3.19657647; 23.84986859; 2.01595383; 0.00972105; 0.00982790; 1.00000000; 0.00000000
3.39636250; 24.04963883; 2.01809844; 0.01178105; 0.01078944; 1.00000000; 0.00000000
3.59614853; 24.24940157; 2.02067360; 0.01403122; 0.01173786; 1.00000000; 0.00000000
3.79593456; 24.44918216; 2.02371750; 0.01646980; 0.01266880; 1.00000000; 0.00000000
3.99572059; 24.64892907; 2.02726662; 0.01909340; 0.01359120; 1.00000000; 0.00000000
4.19550662; 24.84866687; 2.03135807; 0.02189934; 0.01450003; 1.00000000; 0.00000000
4.39529265; 25.04841837; 2.03602868; 0.02488602; 0.01539241; 1.00000000; 0.00000000
4.59507868; 25.24812334; 2.04131275; 0.02804985; 0.01627691; 1.00000000; 0.00000000
4.79486471; 25.44781565; 2.04724630; 0.03138861; 0.01714827; 1.00000000; 0.00000000
4.99465074; 25.64751332; 2.05386481; 0.03490091; 0.01800532; 1.00000000; 0.00000000
5.19443677; 25.84715028; 2.06120035; 0.03858319; 0.01885575; 1.00000000; 0.00000000
5.39422280; 26.04676760; 2.06928819; 0.04243396; 0.01969492; 1.00000000; 0.00000000
